YorubaWords,PartOfSpeech
" ti ase, ti ayo, ninu-", adj
 and i or n. egbo, v
 igba ase., n
" and i. mu-wa,", v
" rùn, meşèri.", adj
 de ni şękęsękę., v
" şękęsękę, ewon.", n
" lja, asp.", n
" ibà, otutu, igbona ara.", n
" nigbona ara, nibà.", adj
 die., adj
 iye dię., n
 fila dara., n
" okùn igi, okùn eweko.", n
 niyemeji., adj
 aiduro si pkan., n
" ijaro, pro asan.", n
 dūru., n
" aluduru, onifère.", n
 okùn dūru., n
" olōtę, ifaramo.", n
" şaifara-balę, aisimi.", n
" igbę, papa.", n
" eșu, ota.", n
" rorò, muna, gbona.", adj
" iroro, ibinu, imuna.", n
 amubīna., adj
 fère., n
" ēdogun, mēdogun.", adj
 ikēdogun., adj
 ekarun., adj
" adota, ikädota.", adj
 adota., adj
 opotó., n
" and i. jà, jagun. n. ijà, ogun.", v
" onija, jagunjagun.", n
 ni apęrę., adj
" aperę, aworan.", n
 okun tīnrin., n
" jale, ji, şafowora.", v
 ayùn onipin. v. and i., n
 ti omo., adj
" iyę, eha.", n
" and i. kún, te-lorun.", v
 atafo oju., n
" asę. v. and i. sę, ro.", n
" ēri, egbin, qbun.", n
" lēri, legbin, nirira.", adj
 and i. ro., v
 lębę eja., n
" ti igbehin, ti ipari.", adj
" lakotan, nipari,", adv
" owo, inawo.", n
 olutoju owo., n
" ri, bá.", v
" dara, dùn. n. ibulé,", adj
 didaradara., adv
 ika owo. v. fi ika tó., n
" and i. pari, şe-tan.", v
" ni opin, nipinnu.", adj
 iná. vi. gbiná. v., n
 ibon., n
 igi iná., n
 kokoro tanna tanna., n
 ęba iná., n
 igi idaná ēdu., n
" lagbara, le, duro", adj
 ofurufu., n
 niduroşinşin., adv
" ekini, nişaju.", adj
 akobi., n
 akoso., n
 akobi eran., n
 daraju., adj
 eja. v. and i. pęja., n
 eleja., n
" ila, isàn.", n
" ikükù, èsé.", n
" yę, to. n. imugiri.", adj
" niyiye, nitoto.", adv
" yiyę, tito.", n
" arún, marún.", adj
" and i. fà-so, muduro.", v
" mura, pipę.", adj
" rò, aimura giri.", adj
" asia, opagun; koriko odo.", n
 rekoja àla., adj
 ipakà., n
" majala, iforifo iná.", n
" owo iná, igbona qkan.", n
 çiyę ako., n
 iha., n
 aşq kubusu kikuna., n
 ilugba. v. and i., n
 and i. jo., v
 iko-sän. v. and i., n
 sago kekere., n
" tę. tęju, şepętę.", adj
" itęju, işepętę.", n
 and i. teberé., v
" pọn, tàn.", v
" eletan, iponni.", n
" iponni, iyin eké.", n
 igùfe., n
" adùn, itowo, õrùn.", n
" abukun, isán, ila.", n
 ogbo., n
 bo li awo., v
 idun ēgbọn., n
" gun iyę, huye.", v
 irun agutan. v. ręję., n
" egbe-oko, owo-oko.", n
 iyara., n
 eran ara., n
 kiki ęran., adj
 ilò., n
" rorun lati tę, lò.", adj
 jo baibai., v
 isa kuro ninu ewu., n
 felefelę., adj
 sunki ninu irora., v
 and i. sq., v
 okuta ibon., n
 laironu., adj
 and i. şire ifę; ba, v
 fo-lo., v
 and i. fo loju omi., v
 owo eran tabi eiye., n
" nà, jan li pré.", v
" ikún omi, işan omi.", n
 akunbo omi., n
 ilę ilé., n
 and i. şubu lule., v
 owo fadaka 2/-, n
 yi ara kiri., v
 kosę., v
 iyefun., n
" and i. ruwe, lawe,", v
 san. n. işan omi., v
 itanna eweko. v., n
 ti fo lo., v
 yi sihin sphun., v
 irú soke ru sodo., n
" şişan, idawūru.", n
 nisoro jojo., adj
" mimu, şişan.", adj
 işan., n
 and i. wá ni ikanju., v
" igbona, iyara.", n
 fere., n
 and i. fo nibambale., v
 işan., n
" eşinşin. v. and i. fo,", n
 omo eşin., n
 ifofo., n
 ohun jiję ti eran., n
 ota., n
 ikükü., n
 kiki ikükü., adj
" and i. se, te. n.", v
" agbo, agbo eran. v.", n
 ewe., n
 iwe nla., n
 awon enia., n
 alq irintan., n
" and i. tele, to-lehin. Follower, n. omo-ehin.", v
" aimoye, iwere.", n
 fi omi gbigbona wę., v
" nikę, nifé.", adj
 and i. kệ., v
" ikę, ifé.", n
 awo omi lati fi baptisi., n
 onję., n
 laini onje., adj
 aşiwere. v. and i. și, n
" gò, şiwere.", adj
 iwere., n
 afara kekere., n
 ipo ęsè., n
 ibiti ęsė tę., n
 lainięsę., adj
 iranşekonri., n
 ipa ona., n
 riro ęsę., adj
 ipa ęsę., n
 apoti itisę., n
 oge., n
" fun, nitori.", prep
" ko-ęrù, jale, piyę.", v
 niwonbi., conj
 dawo duro; pa-, v
" idawoduro, suru,", n
 da-lękun., v
 didalękun., adj
" ipa, agbara. v. fi", n
 pelu agbara., adv
 odo afęsęlaja. v. and i. wodo., n
 lilaja., adj
 niwaju., adj
 wi telę., v
" gbimo telę, gbiro- telę. n. igbimotelę.", v
 iwaju oko., n
 baba nla., n
 iwaju., n
" and i. jo-lowo, fi-silę.", v
 ilę iwaju., n
" iwaju. Foreign, adj. ti ilu miran.", n
" ajeji, alejo, ara ilu", n
 şe idajo şaju., v
" mo telę. Foreknowledge, n. imotelę.", v
" işaju, oga.", n
 iwaju patapata., n
 igba ikanri ojo., n
 pinnu telę., v
 așaju eni., n
 ri telę., v
 imotęlę., n
 şaju., v
 itowo telę., n
 so telę., v
" iro tele, ipese silę.", n
 titi lai., adv
 kilo fun telę., v
" bule, padanu. n. ibule.", v
 dariji., v
 agbędę irin. v. and i., n
 akole eke., n
" şigbagbe, ni- gbagbe.", adj
 igbagbe., n
 dariji., v
" idariji, ifiji.", n
 mura lati dariji., adj
" amuga ijeun, agunję.", n
 kikosilę., adj
" ise, iwo, aworan;", n
" bi işe, bi iwa.", adj
" işe idasilę, aperę ise.", n
" işe, ida, ibi.", n
 tişaju., adj
 igba işaju., adv
" niberu, lera.", adj
 iwe işe idasilę., n
" se pansaga, şe àgbere.", v
" işe pansaga, işe àgbere.", n
" pansaga, àgbere.", n
 kỳ silę., v
 kikosilę., adj
 nitoto., adv
 fi ibura şe ileri., v
 odi., n
" jade, jadewa.", adv
 ijadewa., adj
" nisisiyi, logan.", adv
" odi, abo.", n
" and i. dabobo, modisi.", v
" igboiya, ilaiya.", n
 igba osę meji., n
 odi alagbara., n
" bọ sakokò, şa gbako.", adj
" alabapade, ohun iní. Fortune-teller, n. awomi.", n
" ibi qja, ibi ipejo.", n
" ran siwaju, imu.", adj
 imura tele; iyaju., n
" bọ, tọ, se itoju.", v
 omo agbabo., n
 alagbabo., n
 and i. ja., v
" aimo, ēri, ęgbin.", adj
 elenu bu-, adj
" iwa ętan, ögun buburu.", n
 ri; fi ipilę lelę., v
" ipilę ilé, isolę.", n
" okuta ipilę. Founder, v. and i. ri sinu omi.", n
" isun, orisun.", n
" prin, merin..", adj
" merin-merin. Fourfooted, adj. elęsę merin.", adj
 merinla., adj
 ękęrinla., adj
 ekerin., adj
 lona kerin., adv
" adię, çiyę.", n
" peiye-peiyę, apeiye. Fox, n. kolokolo.", n
 ibu ni ara ototo;, n
 ti ibu ni ara, adj
 and i. se egungun., v
 fifo., adj
" ibu, ajęku.", n
 lõrùn didün., adj
" lailera, lailagbara.", adj
" ailera, ailagbara.", n
" and i. şe, mo, ko;", v
" omnira, ibokuro lowo isin. v. so di omnira.", n
" tuwo ka, şe osqnu.", adj
" turare. Frankly, adv. ni tuwoka; ni .", n
 işe otito gbangba. , n
" bibaję ori, aituloju.", adj
 ti árá; ti ara-, adj
 gęgę bi ara., adv
 egbę., n
 eniti o pa arakonri eni., n
" etan, erú.", n
" itanję, işeru.", n
" ija, ogun.", n
 ami tótòtó., n
 tótótó., adj
" di omnira, tunuka si.", adj
" bi li omnira, omo", n
" prú ti a fi şe ọmọ,", n
 omnira., n
 ifé atinuwa., n
 and i. dì., v
 ęrù oko., n
" isinwin, işiwere.", n
 igbakugba., n
" nigbagbogbo, nigbakugba.", adj
" tutù, titun.", adj
" and i. so di titun, so di tutù.", v
 omi ti kò ni iyo ninu rè; omi-mimu., n
 and i. bo li ēpo ara;, v
" nifajuro, nikanra.", adj
 ikanra., n
" ira, ira ohun meji", n
 ijo kefa lose., n
" pré, egbę, enikeji. Friendless, adj. laini pré.", n
" ifé, ìrę, irępo.", n
 oko ogun., n
" prù, ifoiya.", n
" deruba, daiya fo.", v
 tutu., adj
 ka., v
" waja-waja, igbati aso.", n
" fò, bé. n. işire.", v
" kikini, ainilari.", adj
 ewu ilekė., n
 opolo., n
 işire., n
" lowo, kuro, ninu.", prep
 iwaju. v. and i., n
" ateteba, iwaju.", n
 oja igba iwaju., n
 otutu nini., n
 ifofo; pro asan., n
 nikanra., adj
 and i. bojuję si., v
 and i. mu so eso., v
" tuwoka, nitoju.", adj
" eso, omo.", n
" leso, pupo.", adj
" anfani, ere.", n
" laileso, yagàn.", adj
 igi eso., n
" ba-ję, yi-po.", v
 ibaję., n
" and i. yan ninu ora, din.", v
" ohun idana, igi, eyin.", n
 isansa. adj. lai- duro nibikan., n
 mu-şe., v
 imusę., n
 kun., adj
 ni kikun., adv
" kún, kikun.", n
 and i. se nkan, v
" ēfin, öru. v. and i. binu.", n
 fin li ēfin., v
 oru ti o ti inu, n
" ire, işire, èfe.", n
" oye, agbara.", n
" owo ilelę, ikojopo owo.", n
" idi, ehin.", n
" ti ipilęsę, pa-", n
 isinku., n
" olu, olu èhu igi.", n
" iromi, iroti.", n
 irun mulomulo., n
" runu, şe ikannu,", adj
 ileru., n
 pese fun., v
 ohun elo ilé., n
 aporo., n
" siwaju, lokere.", adv
 pelu-pelu., adv
 yo-wò., adj
" ikannu, ibinu.", n
 and i. ta tętę., v
 atatętę., n
" fò, bé.", v
" ire, işire; odę eran", n
 olutoju ohun, n
 ako pępęiyę odo., n
 awọn ti o sowo po lati şe nkan., n
" arun, idibaję ni eran ara, ira.", n
" yo, dà; ré nkan meji", v
" iyolu, idalu.", n
" irękękę, aisimi.", n
" lasan, laiwulo. Future, n. igba ti mbo.", adj
 iberę orule ile., n
 ikù ile., n
 rin kiri laisimi., v
 eşinşin nla., n
 and i. hú li enu. n. ihanu., v
" inudidun, ayo.", n
" ère, anfani. v. and i. jère, ri gba.", n
" elerè, alanfani.", n
" riwisi, soro odi si.", v
 irin., n
 aso iwesę., n
 idaraya., n
 afefe lile ategun., n
 ororo. v. and i. fi ara bó., n
" nigboiya, lola. n.", adj
 odędę loke., n
" iru oşuwon kan. Gallop, v. and i. dogiri. n.", n
 igi isonipa., n
" iho, ẹlà, isan.", n
" yán, yanu gboro.", v
" aşı, ewu.", n
 ogbà., n
" olusogba, asogba.", n
 egbogi ofun. v. and i. wè ona ofun., n
" màriwo, idi ewe tabi itanna.", n
" ewu, aşq ibora.", n
" aká, abà.", n
 se li oso. n. ohun, v
 egbe ologun ni ilu olodi. v. modi si., n
" alaroye. Garter, n. okun iso ibose.", adj
 ogbę nla., n
 and i. yanu silę gba, v
" ti apoluku, ti ikùn.", adj
" enu ona ode, ilękun. Gate-keeper, n. olutoju ēnu ona.", n
" and i. kojo, kopo si ibikan.", v
 alakojo., n
 ikojopo., n
 diwòn. n. opa idiwon., v
 rù., adj
" ibowo irin, ibowo", n
 aso felefele., n
" daraya, inudidùn.", adj
 tęjumowo., v
 iwe irohin ijoba., n
 eni ifişeleya., n
" ohun elo, ohun oso.", n
 okuta iyebiye., n
 ako tabi abo., n
 itan atele idile., n
" wopò, ti gbogbo", adj
 nigbakugba., adv
 bi., v
 iran., n
 iwa inu rere., n
 ni inu rere., adj
 iwe ekinni ti Mose., n
 ni ayayà., adj
" oloye, amoye.", n
" pelę, oloju-saju.", adj
 keferi., n
" ni iwa pelę, şe jeję.", adj
" oniwa rere, eniti a bi rere.", n
" iwa tutu, iwa jęję, iwa pelę.", n
" awọn ti a bi rere, awon bõkini.", n
" lotito, laişętan.", adj
 imo aperę ile aiye., n
 imo nkan ti inu ile nisalę., n
 èhu., n
" and i. hù, là, sọ", v
 and i. sèfe., v
 ire èfe., n
 iyi ara., n
" and i. ni, rigba.", v
" ohun işire, nkan asan.", n
" lerù, bi oku, bi iwin.", adj
" emi, iwin, oku.", n
" omiran, aşigbonle.", n
 igi isoniro., n
" and i. so isokuso, se eleya.", v
 õyi oju., n
" laiduro nibikan, ni", adj
 ębùn., n
 tobi., adj
 bo ni wura tabi fadaka., v
 wura tabi fadaka ti, n
 erękę eja., n
" olu, irin ti a fi nda", n
" okùn didé, egé; oti.", n
" atalę. Gingerly, adj. lesò-lesò, finifini.", n
 agunfon., n
" sán, di amure.", v
 iti igi ni itę apako ile., n
" ohun sisán, amure.", n
 omobirin., n
 oja gāri eşin., n
 koko pro., n
" and i. fi fun, fi-bùn.", v
" olufunni. Gizzard, n. iwe şiyę.", n
" yò, şe inudidun.", adj
" mu yo, mu ni inu dùn.", v
 tayotayo., adv
 ayo inudidun., n
 isujú., n
 iwo firi., n
, n
" awojiji, digi.", n
 and i. fi digi si., v
 onişę fifi digi si ferese., n
 itanşan implę., n
" and i. peşę, sà.", v
 apeşę., n
" ayo, inudidun.", n
 didun., adj
 and i. yó pele., v
 molę baibai., v
" imple firi. Glisten, v. tan imple.", n
 itanşan., n
 tęjumo wò fun ibi., v
" işu aperę aiye. Gloom, n. işokunkun, idagıdę;", n
 şokunkun; bibi-, adj
 yin-logo., v
" lola, logo.", adj
" ogo, iyin, pla. v.", n
" idan; itumo, asqye.", n
 iwe itumo oro., n
 didan., adj
 ibowo., n
" igbona ara, igbona", n
 imunmuna., n
 ate., n
" fajuro, şe oju ibinu.", adj
 je ajęki., v
" ojęun, alajęki.", n
 ajęki., n
 kóko igi., n
 and i. pahin keke., v
 kantikanti., n
 and i. girin ję., v
" rin, lọ, nso.", v
" opa mimu, egun. v. tì.", n
 opin isure ije., n
 ewuré., n
 olutoju awon ewu-, n
 and i. sopaka-gbemi., v
 Olorun., n
" omo nipa ti Olorun. Goddess, n. abo orişa.", n
 baba nipa ti Olorun., n
" laini Olorun, laigba Olorun gbo.", adj
 niwa-bi-Olorun., adj
 ifqkansin Olorun., n
 iya nipa ti Olorun., n
 ohunrere lati odo Olorun., n
" ilo, irin.", n
 gège., n
 wura, n
 t, adj
 ti, adj
 arun..., n
" ire, rere.", adj
" ikini ipinya,", interj
" Oku alę! ""kalę o.""", interj
" inu didun, inu rere.", n
 didara., adj
" Oku aro! kāro o!""", interj
" iwa rere, ore.", n
 Odaro! Odi ojumo!, interj
" ęrù, ohun iní.", n
 ifé inu rere., n
 pepeiyę odò., n
" eję didi. v. gun li òko, fi iwo kàn.", n
 ofun. v. and i. fi iwara gbemi., n
" didara, hihàn. Gorilla, n. inoki, inaki.", adj
 omo pępęiyę odò., n
" ihin rere, itan igbe aiye Jesu.", n
" isoro asan. Gourd, n. igbá, itakùn.", n
" and i. şakoso, şolori,", v
 olukoni obirin., n
" ijoba, akoso ilu.", n
" alakoso ilu, ajęlė.", n
" ore-ofe, oju rere, anfani. v. şe loso, mu niyin.", n
" didara, lewa.", adj
" plore-qfe, alānu.", adj
" ito lęsęsę, itę siwaju.", n
 ipò., n
 lęsęsę., adj
 and i. gbà ere li ilé ęko giga., v
 eka alomó si igi keji., n
" woro irugbin kan, oka, agbado.", n
 imo ilo oro daju- daju., n
 ilé ęko giga., n
" aká, abà.", n
" tobi, niyin, lola.", adj
" omoloju, omo. omo.", n
 eni olola., n
 didara ni irí., n
 baba nla., n
 iya nla., n
 ibi giga fun iwòran., n
 okuta ako dudu., n
" gbà, fi-fun. n. ohun ti a fifunni.", v
 eso ajara., n
 juwe finifini., adj
 and i. fi agbara dimu., v
" and i. fi owo gba mu, dimu.", v
" ni ojukokoro,", adj
 koriko igbę., n
 elengà., n
 irin ikele. v. and i., n
" more, dupę.", adj
 ifilò., n
" itenilorun, iwù.", n
" ké, tẹ lọrùn.", v
 lofé., adv
" opę, idupę.", n
 ębùn ofẹ., n
" gbé, fín, sonà finfin si. adj. nronu. n. isà okú.", v
 aso oku., n
 agbelệ okú., n
" okuta węwę yanrin,", n
 and i. fa mọ., v
 ifamo ara kan si ekeji., n
" iwa agba, nironu. Gravy, n. omi eran.", n
" and i. ję koriko igbę, fi bo.", v
" pra, epo. t.t. fi qra pa.", n
" ilora, ilepo.", adj
" tobi, nlà, po.", adj
 itobi., n
 iwora ojukokoro., n
" niwora, lojukokoro.", adj
" dudu; aipon, aidę,", adj
 oluta ewebę., n
 eniti ko şoro tanje., n
" kí, yò.", v
 ikini., n
" ibanuję, ikanu, edun.", n
 ohun ibanuję., n
" and i. mu ni kędun, baninuję.", v
" ni ibanuję niponju. Grim, adj. korò, rorò.", adj
 ibojuję şüşů., n
 ēri. v. so di ēri., n
" and i. rerin ako, rerin", v
" and i. lò, pón.", v
 ölò., n
 okuta iponrin., n
 igbowý. v. and i., n
" inurirun; dimu şinşin. Gristle, n. okerekere.", n
" awo ployę, adalu", n
 and i. kerora. n., v
 itan., n
 apoko ęşin., n
 ihò itębo., n
 fi qwo wá qna li okunkun., v
" şaikuna, şakişaki. n. gbogbo, ototo ejila me-", adj
" aikuna, itobi.", n
 pagun-pagun., adj
 ilę., n
 lainidi., adj
 èpa., n
 ipilęsę., n
" akojopo, idipo.", n
 igbo kekere., n
" rako, rę ara silę.", v
" and i. hù, sọ, dagba.", v
" idagba, ihu.", n
" kokoro, idin.", n
" kùn si, şe arankan si. n. odi, ija.", v
 deruba., adj
 kanra., adj
" and i. kùn, kùn", v
 akunsinu., n
 kùn bi elęde., n
 onigbowo., n
" abo, işora. v. and i. só, dabòbo.", n
" oluşo, olutoju.", n
" and i. làmọ, ro sọ. η. alamo. Guest, n. alejo, eniti a nșe alejo", v
" itona, ifonahan.", n
" fi ona han, to si qna. n. amona.", v
 apako loju ona, n
" egbę, parakoyi.", n
" arekereke, ètan.", n
" laisiarekereke,", adj
" eşe, ębi eşę.", n
" laijębi, laileşę.", adj
" jebi, elese.", adj
 şile mokanlelogun., n
 ọkà bàba., n
" ętù, eiye áwó. Guinea-pig, n. emó (eku).", n
 sobia., n
" iri ode, iwa. Guitar, n. ohun ona orin olokun tita.", n
 eya omi okun sinu ilę., n
 tàn; ręję., v
" ona ofun. Gulp, v. and i. sopaka-gbemi.", n
 ibon., n
 ayinbon., n
 ętu ibon., n
 yiyin ibon., n
 and i. tu pūpų., v
 and i. tu-jade. n. itujade., v
" idasa-aşq. Gust, n. afefę ojiji.", n
 ifun eran. v. and i. fun ifun., n
 oju àgbàra., n
 ti ijakadi; ti idaraya., adj
 pro ikigbe iyanu., interj
" oluta aşq, ati", n
" iwa, işę, iwoso.", n
 gbigbé., adj
 olugbé., n
" ibugbé, ilé.", n
" iwa, işe.", adj
 and i. ke şakaşaka., v
" isa oku, ibugbe awon", n
 ēku obę tabi ida., n
 aję., n
" rù, joro.", adj
 yowo pjà., v
" pè, kí lokere. inter.", v
 okuta yinyin., n
 irun., n
 onidiri onigba-, n
 ikoti., n
 onirun., adj
" lera, dida ara. v. fa.", adj
" abo, idameji.", n
 mefa., n
 ni ilowowo okan., adj
" owo baba, idaji kobo.", n
 agbede meji ona., adv
" gbangan idajó, yará nla.", n
 ya si mimó., v
 itanje., n
" imolę ti nyi õrun ka. Halt, v. and i. desę duro;", n
 okun orun eran fun fifa., n
 pin ni meji., v
 itan eran elędę ti afi, n
" abule, ileto.", n
 õlu. v. and i., n
 ibusun asorò., n
 agbon nla. and i. di lona. v., n
 qwp. v. nawo si., n
 agogo kekere ifowo, n
 ibu atelewo., n
 ikunwo., n
" aşọ inuju, gèle. Handle, n. ēkù, èrú. v. dimu,", n
 omodo obirin., n
" dara, lewa.", adj
 ikowe., n
" mura, rorun, nitosi. Hang, v. and i. fi-ko, so-го,", adj
 aso ferese tabi, n
 şaferi gidigidi., v
 ēşi., n
" boya, lalabapade.", adv
" şe, jade, hù.", v
" alafia, irora, rere.", n
" lalafia, nirora.", adj
" da li agara, yo-lenu. Harbinger, n. așaju.", v
 ebute oko. v. and i. dabobo., n
" le, şoro, nika. adv.", adj
" and i. mu-le, mu-", v
 alailānu., adj
 işoro., n
" inira, wahala.", n
 ohun elo amp., n
" laiya, şakoni, le.", adj
 ehoro., n
 gbo! fetisile!, interj
 pansaga obirin., n
" ibaję, ipalara, ibi. Harmful, adj. nipalara.", n
" lainipalara,", adj
 qye., n
 dùru., n
" ibarę, işedede.", n
 idi eşin kękę., n
 duru., n
 aluduru., n
 oko irin fun pipa, n
" ja lole, kó leru.", v
" rorò, sónú.", adj
 irorò işonu., n
 ako agbonrin., n
" ikorė. Harvester, n. olukorè.", n
 ke wewe., v
 iha iko., n
 timtim ikunlę., n
" iyara, ikanju.", n
" and i. mu yara,", v
" nikanju, nibinu.", adv
" kanju, yara.", adj
" akętę, ate.", n
 and i. pa omo ninu eyin., v
 ada., n
 korira. n. irira., v
 kun fun irira., adj
" irira, aife.", n
" gberaga, rera.", adj
" and i. fà, vợ.", v
 itan., n
" and i. părà, de. n. ibi arà.", v
" ibi igunlę okò, ibi abò.", n
" òfo, ibaję. v. parun, baję.", n
 awodi. v. and i. polowo oja., n
 onikiri oja., n
" iję apasá, koriko gbigbę.", n
 ewu. v. fi wewu., n
 lewu., adj
 ikuku., n
" ori, oke, olori. v. and i. se olori, şe alakoso.", n
" ifori, ori fifo.", n
 idiri ifarun., n
 iyori ilę., n
 ogedengbe., adv
 olori ilé ęko., n
 ilé olori egbę., n
 okuta pataki ti igun ilé; okuta iboji., n
" laigboran, agi. di.", adj
 ilosiwaju., n
" and i. mu-lara-da, wo-san, mu-jina.", v
" oniwosàn, onişegùn.", n
" iwosan. Health, n. ilera, dida ara.", n
 nilera., adj
" dkiti, ebè, ikojopo.", n
" and i. fi eti gbó, tętisi.", v
 olugbó., n
" igbó, igburo.", n
 fetisilę., v
" ihin, iró.", n
 kękę oku., n
 pkan., n
" ibanuje, irora okan.", n
" ibi idaná, àro.", n
" tokan-tokan, tinu- tinu, nitõto.", adv
 laini-anu., adj
" nilera, nitõto.", adj
" oru, igboná. v. and i. fi gboná.", n
" keferi, aborişa.", n
 iwa keferi., n
 and i. gbe soke., v
" orun alafia, oke prun.", n
 bi ti prun., adj
" iwuwo, ibinuję.", n
 wuwo., adj
" ogbà, ogba tutù.", n
 ya., n
" sora, kiyesi. n. işora,", v
 nişora., adj
" laibikita, lainani.", adj
 gigisę., n
 egboro abo malu., n
" giga, ibi giga.", n
 and i. gbe-ga., v
 buru rekoja., adj
 ajogunba., n
 prun apadi., n
 itoko., n
" ihamora aşibori,", n
 t. ran-lowo. n. iranlowo., v
" oluranlowo. Helpless, adj. laini irànwó.", n
" rudurudu, nikanju.", adv
" işęti aşq, igbati asp.", n
 ābo işu aiye., n
" eję, isun eję. Hemp, n. igi ogbó.", n
 abo adię., n
 lati ihin lọ., adv
